word,freq,sentiment_category
minutes walk restaurant,2,-1
saying us they walked,2,-1
easy walk campus,2,-1
easy access city nearby being neighborhood,2,-1
addition medici,2,-1
really walkable things,2,-1
quick walks restaurants,2,-1
perfect you drive by,2,-1
home seem,2,-1
highly walkable,2,-1
right next door store,2,-1
wooded,2,-1
short drive salem,2,-1
easy access subway still being neighborhood,2,-1
super convenient location,2,-1
easy walk hall,2,-1
extremely convenient close store,2,-1
also shops,2,-1
so quiet atmosphere,2,-1
complexes road,2,-1
!charging,2,-1
!needs travelers,2,-1
block avenue,2,-1
reasonable walking distance shops,2,-1
you really feel secluded,2,-1
fantastic trip,2,-1
very beautiful go walk area,2,-1
easy walking distance transportation,2,-1
rather convenient,2,-1
quite diverse,2,-1
extremely tidy,2,-1
end trip,2,-1
it is street station,2,-1
private bedroom,2,-1
being right next common,2,-1
exactly how it described i recommend others,2,-1
public transit line,2,-1
great just short walk t,2,-1
tip,2,-1
great close neighborhoods,2,-1
excellent highly recommend,2,-1
far neighbors,2,-1
aware it 's,2,-1
very good explore,2,-1
conveniently close boston,2,-1
so private you feel you ’re far away chaos,2,-1
historical sites ethnic cuisine heart,2,-1
tough beat you want experience,2,-1
easy walks restaurants neighborhood,2,-1
cheery,2,-1
hello,2,-1
we did austin,2,-1
close transportation access,2,-1
burbs,2,-1
few miles restaurants,2,-1
austin great spots,2,-1
we were able walk bunch,2,-1
adorable street,2,-1
absolutely adorable neighborhood,2,-1
it is next street,2,-1
grittier portrayed description,2,-1
!safe walking distance,2,-1
everything is new,2,-1
rude,2,-1
very unsafe neighbourhood,2,-1
couple times,2,-1
sign,2,-1
also numerous highways,2,-1
being pretty far north locations,2,-1
private way,2,-1
you want hop road,2,-1
prime location boston,2,-1
questionable locations,2,-1
neighborhood border,2,-1
distance condos,2,-1
cultural,2,-1
you park street,2,-1
key park court,2,-1
relatives stay here,2,-1
distance event,2,-1
only walk portsmouth,2,-1
it very easy navigate around,2,-1
downtown safe neighborhood,2,-1
we want way,2,-1
quiet area pond,2,-1
decent accommodations,2,-1
distance lighthouse,2,-1
western side street,2,-1
me feel comfortable right away,2,-1
our entire stay,2,-1
away plymouth,2,-1
minutes plantation,2,-1
great match plans,2,-1
great bathroom,2,-1
it convenient base trips,2,-1
their front porch,2,-1
saturday monday,2,-1
blue sheet,2,-1
their unit,2,-1
get downtown fast,2,-1
entrance building is ally,2,-1
space beautiful,2,-1
perfect next door ray,2,-1
7mins,2,-1
!perfect us,2,-1
barrier,2,-1
away domain lots,2,-1
great close proximity tram,2,-1
beautiful park perfect location anyone,2,-1
it 's close line,2,-1
front commons,2,-1
!truly,2,-1
it is close supermarkets,2,-1
perfect very pretty neighborhood,2,-1
central austin is where you spend,2,-1
entire region,2,-1
it 's so close downtown,2,-1
super attentive,2,-1
!trendy neighborhood restaurants,2,-1
bitch sketchier i originally thought,2,-1
much better i expecting,2,-1
just excellent very quite easy get airport,2,-1
quite far downtown,2,-1
lonely,2,-1
main highways,2,-1
very convenient being,2,-1
location very desirable vacationers,2,-1
easy access gloucester,2,-1
small vibe,2,-1
our family ready morning school,2,-1
great proximity common,2,-1
easy ride attractions,2,-1
thanks everything,2,-1
major areas clean space,2,-1
my office area,2,-1
our trips city very easy,2,-1
great good area,2,-1
nice up coming area,2,-1
easy distance shops,2,-1
restaurants etc,2,-1
near road,2,-1
rambunctious,2,-1
very quite area,2,-1
wonderful jumping point one,2,-1
cup coffee wake,2,-1
facilities basketball,2,-1
our tour area,2,-1
away amenities,2,-1
trails safe neighbourhood,2,-1
just quick walk square river,2,-1
large families,2,-1
wonderful trip,2,-1
convenient sq,2,-1
other parts area,2,-1
other airbnb units,2,-1
nice tables,2,-1
when you go there,2,-1
boston common,2,-1
basic amenities,2,-1
our time boston,2,-1
located close options,2,-1
ride heart,2,-1
me walk locations,2,-1
duration stay,2,-1
its proximity mgh,2,-1
metres,2,-1
amazing experience,2,-1
off road,2,-1
station are,2,-1
excellent tourism,2,-1
lovely itself,2,-1
they ’re list,2,-1
salem area,2,-1
fantastic ideal trip,2,-1
most places city,2,-1
close commons,2,-1
ideal attractions,2,-1
easy reach cambridge,2,-1
few improvements those,2,-1
around upstairs,2,-1
pretty close bagelsaurus,2,-1
you walk hardvard,2,-1
practically next door station,2,-1
wonderful very cute neighborhood close downtown easy walk lots,2,-1
so much more we expected,2,-1
so many wonderful restaurants,2,-1
!highly enough,2,-1
warm neighborhood,2,-1
also walking,2,-1
their apartments,2,-1
terms options,2,-1
blow,2,-1
most picturesque street,2,-1
large duplex,2,-1
outdoor patio,2,-1
minutes convention,2,-1
only drive area,2,-1
safe family friendly area,2,-1
which solved by,2,-1
ferry street,2,-1
right across park,2,-1
most anywhere,2,-1
great spot end,2,-1
perfect super close everything end,2,-1
so taking was very convenient,2,-1
able find night relatively easily,2,-1
you need visit,2,-1
street house end,2,-1
amazing lots restaurants,2,-1
smell smoke,2,-1
very traditional street medford,2,-1
close redline,2,-1
!our plans,2,-1
!beat tucked away street,2,-1
nice perk,2,-1
absolute dream,2,-1
so so adorable,2,-1
odor,2,-1
clean lot,2,-1
nasty note,2,-1
good main area,2,-1
it is close markets yet street,2,-1
kids explore front,2,-1
great access parts,2,-1
perfect choice- very close street,2,-1
easy walk common,2,-1
to far area,2,-1
little intimidating,2,-1
too old,2,-1
!square next building,2,-1
5 us,2,-1
wonderful security features,2,-1
very new amenities,2,-1
private locked room,2,-1
perfect mix quiet nightlife,2,-1
unbeatable area,2,-1
safe area lynn,2,-1
our family coming places meet boston,2,-1
stay salem,2,-1
great just ride,2,-1
cool places walkable,2,-1
fast bus centre,2,-1
very convenient close station,2,-1
surrounding sites,2,-1
super convenient shop,2,-1
experiences,2,-1
worst,2,-1
perfect great area boston,2,-1
quick access sites,2,-1
little run down- marks walls,2,-1
i needed most,2,-1
too dark,2,-1
really easy host,2,-1
mile heart,2,-1
safe enough day,2,-1
somewhat bothersome,2,-1
!you look it though,2,-1
be us,2,-1
full boutiques,2,-1
healthy,2,-1
parking metered,2,-1
providence,2,-1
residential life,2,-1
quaint residential street cambridge,2,-1
worth mentioning those,2,-1
blocks campus,2,-1
neighbourhood eateries,2,-1
cozy quiet neighborhood,2,-1
great walkable greenway,2,-1
middle activities,2,-1
all area,2,-1
do distance,2,-1
key area,2,-1
brief stay,2,-1
short walk metro,2,-1
good those,2,-1
visit end,2,-1
places toro,2,-1
easy walking distance bakeries,2,-1
toro,2,-1
good distance area,2,-1
disruptive,2,-1
incredibly walkable area cambridge,2,-1
!steps t,2,-1
relevant,2,-1
saver,2,-1
wonderful they were super helpful,2,-1
wonderful walks,2,-1
very high street,2,-1
area feel quite unsafe,2,-1
quite unsafe,2,-1
perfect backdrop weekend,2,-1
about min walk away,2,-1
close hospital,2,-1
historical areas,2,-1
aspects boston,2,-1
very convenient fenway,2,-1
wobbly,2,-1
lot restaurants little italy very close lot,2,-1
only walk train,2,-1
landmarks worth visiting,2,-1
perfect blend access,2,-1
minutes turnpike,2,-1
suburban area connection,2,-1
distance station minutes,2,-1
beautiful old homes,2,-1
based,2,-1
house very clean,2,-1
good very great location,2,-1
walk family,2,-1
easy time,2,-1
so singing getting kind,2,-1
easy get anywhere city,2,-1
nice quiet neighborhood spots,2,-1
our goal was visit,2,-1
quiet residential area traffic,2,-1
it has parking,2,-1
!notorious,2,-1
narrow neighborhood,2,-1
lot growth,2,-1
very close proximity,2,-1
!group relax,2,-1
easily accessible parts,2,-1
available stay,2,-1
you be accessible neighborhoods,2,-1
!their homes,2,-1
all three,2,-1
closest garage was minute walk away,2,-1
bus stops end,2,-1
shoddy,2,-1
i only stayed i travelled further south trip,2,-1
noise minimum,2,-1
!good stores,2,-1
!more central arlington,2,-1
half renovated,2,-1
fabulous close restaurants,2,-1
making it easy get city,2,-1
us felt safe walkable,2,-1
safe walkable,2,-1
nicest neighbourhood,2,-1
easy access colleges,2,-1
aim trip,2,-1
took used night,2,-1
proximity noise,2,-1
away enough it be quiet,2,-1
window street,2,-1
name,2,-1
steep uphill street,2,-1
close walk line,2,-1
better room,2,-1
very hot weekend,2,-1
conveniently close square,2,-1
significant noise,2,-1
great just short walk line,2,-1
safe interesting neighborhood,2,-1
well connected rest,2,-1
great walkable stores,2,-1
superb there are,2,-1
walking away stop,2,-1
it quiet,2,-1
return soon,2,-1
when you 're area,2,-1
me get work,2,-1
suburban destinations,2,-1
part trip,2,-1
left fork,2,-1
!i get explore very much,2,-1
kindly,2,-1
safe enter am,2,-1
area hall,2,-1
amazing sightseeing,2,-1
stunning view building,2,-1
good security,2,-1
very busy area,2,-1
amazing local restaurants,2,-1
it really easy get cute,2,-1
about away t,2,-1
just extra lovely,2,-1
mantra,2,-1
about as cool they get,2,-1
seemingly safe neighborhood,2,-1
us revisit,2,-1
low traffic street,2,-1
amazing as well view,2,-1
close enough walk couple,2,-1
perfect walk everywhere,2,-1
so many amazing places food,2,-1
real vibe,2,-1
bustling street,2,-1
aiming,2,-1
feet beach,2,-1
several options dining,2,-1
strategically speaking,2,-1
!super attractive,2,-1
situates bit,2,-1
days stays,2,-1
right next transit,2,-1
about mile salem,2,-1
mostly quiet residential area,2,-1
quiet tucked away street cambridge,2,-1
walking distance groceries,2,-1
very close hbs,2,-1
holders,2,-1
great really close bars,2,-1
you want head neighbourhood,2,-1
perfect salem,2,-1
us feel really safe,2,-1
very apt,2,-1
exit,2,-1
therefore,2,-1
bigger i expected,2,-1
easy roll,2,-1
our trip area,2,-1
small room,2,-1
plenty cafes distance,2,-1
away canal away street,2,-1
!so appealing,2,-1
very colorful,2,-1
friendly going,2,-1
i was there work,2,-1
quiet neighborhood town,2,-1
busy day boston,2,-1
!t system,2,-1
great fit,2,-1
very good close restaurants,2,-1
major downtown,2,-1
great location katherine,2,-1
your laptop,2,-1
mature adult,2,-1
!student,2,-1
lockable independent units,2,-1
us spend,2,-1
small residential street,2,-1
as far proximity things goes,2,-1
very nice me,2,-1
perfectly walkable locations,2,-1
lot suggestions,2,-1
rug,2,-1
quick minute walk downtown,2,-1
easily walkable area,2,-1
top dwelling,2,-1
ride pretty much anywhere boston lots shops,2,-1
very walkable score,2,-1
was quiet,2,-1
super close t neighborhood,2,-1
!adequate lighting bathroom,2,-1
good minutes walk station,2,-1
legit steps center,2,-1
i know nick considered closing,2,-1
!very comfortable,2,-1
drive stop is about walk,2,-1
!i use,2,-1
minutes strip,2,-1
it easy get end,2,-1
2017,2,-1
front bedroom,2,-1
convinent,2,-1
inland,2,-1
boston hill,2,-1
fabulous quiet street,2,-1
residential houses,2,-1
!ability,2,-1
great good places,2,-1
perfect walking distance sights,2,-1
minutes gloucester,2,-1
quiet street short walk square,2,-1
why we booked,2,-1
it was okay take,2,-1
fantastic end,2,-1
we walked everywhere,2,-1
you need get harvard,2,-1
good get around cambridge,2,-1
terms amenities,2,-1
your privacy,2,-1
historical monuments,2,-1
you visit ease,2,-1
amazing environment,2,-1
park direction,2,-1
you looking view,2,-1
apartment is old,2,-1
areas dirtiness,2,-1
deadbolts,2,-1
just weak locks,2,-1
it seem you were area,2,-1
our graduating daughter,2,-1
fairly residential,2,-1
it so easy get destinations explore,2,-1
perfect view,2,-1
!extra noise,2,-1
walkable distance everything neighbourhood,2,-1
minutes end,2,-1
modern architecture,2,-1
very personable,2,-1
far away everything,2,-1
city main attractions,2,-1
brandywyne,2,-1
nearby schools,2,-1
trendy cool part town,2,-1
wonderful pristine,2,-1
everyone be comfortable,2,-1
very short walk beach,2,-1
you planning be square,2,-1
great short walk stop,2,-1
fairly convenient location,2,-1
amazing close everything,2,-1
so many great restaurants area,2,-1
surprisingly quiet residential street,2,-1
block beacon,2,-1
naturally scenic,2,-1
easy take,2,-1
perfect location beach,2,-1
interesting sites area,2,-1
really great area,2,-1
quick ride salem,2,-1
!location was great us,2,-1
right next newbury,2,-1
respectable,2,-1
walking distance town,2,-1
location convenient travel,2,-1
!you located one,2,-1
full energy,2,-1
controlled building,2,-1
sights too,2,-1
nearby party,2,-1
our days,2,-1
marvellous,2,-1
show house,2,-1
just crossing green,2,-1
perfect super quiet broad residential street stone throw amenities,2,-1
quiet neighborhood brookline distance,2,-1
marvelous public area,2,-1
strange smell,2,-1
!it too known by,2,-1
it is minutes walk station,2,-1
surprises,2,-1
close t access,2,-1
boston more manageable,2,-1
its mixture suburbs feel,2,-1
single,2,-1
particularly well,2,-1
woods neighborhood,2,-1
friendly street,2,-1
nice neibourghood,2,-1
great drive area,2,-1
great walking location,2,-1
you looking space,2,-1
most boston was distance,2,-1
higher price,2,-1
quite next center,2,-1
very cheaply constructed,2,-1
drawbacks,2,-1
perfect safe area close transport,2,-1
still being very accessible,2,-1
nice respite area,2,-1
you are away restaurants,2,-1
great dogs,2,-1
being close,2,-1
further down,2,-1
really pretty street,2,-1
our liking,2,-1
quite shady,2,-1
be sure travel,2,-1
homeless individuals,2,-1
just short distance many,2,-1
being very close stores,2,-1
pots,2,-1
easily accessible train,2,-1
cool neighbourhood boston,2,-1
very bright,2,-1
really nice stores,2,-1
able walk everything,2,-1
subway stations,2,-1
accomodation area,2,-1
walk day,2,-1
filled families,2,-1
best part it 's,2,-1
glass,2,-1
overlooking beach street,2,-1
ideal very close t,2,-1
ride heart feel,2,-1
same problem,2,-1
cost hotels,2,-1
washington,2,-1
amazing italian restaurants,2,-1
t station,2,-1
outside destinations,2,-1
several great restaurants street minutes walk away,2,-1
very convenient walk stops,2,-1
great very close beach,2,-1
it is suburbs,2,-1
super convenient meeting,2,-1
more remote anticipated,2,-1
outstanding location,2,-1
great amenities area was easy find,2,-1
trek,2,-1
boston medical area,2,-1
great up coming neighborhood,2,-1
exceptional close restaurants,2,-1
be bit,2,-1
great very easy get city,2,-1
minutes gloucester street,2,-1
excellent high,2,-1
distantie,2,-1
great outside,2,-1
awesome hall,2,-1
luxurious amenities,2,-1
bu campus,2,-1
excelente,2,-1
question,2,-1
convenient davis,2,-1
!heart boston,2,-1
thin,2,-1
coffee shop restaurant bar walks congress,2,-1
heavy traffic street,2,-1
many hours day,2,-1
house is away stop it is quite easy get around,2,-1
clean minus noise dr.,2,-1
bu vicinity,2,-1
straightaway beach,2,-1
mins stores,2,-1
interesting bar area,2,-1
very noisy times,2,-1
road glazing,2,-1
business education focused,2,-1
near life,2,-1
number issues,2,-1
!so far boston,2,-1
when selecting,2,-1
nights impossible,2,-1
logistical nightmare,2,-1
us stay boston,2,-1
perfect many activities area,2,-1
safe area tip,2,-1
very safe people,2,-1
several stops line,2,-1
!neighbors were up long making playing,2,-1
!stomping floor,2,-1
!weed,2,-1
making playing,2,-1
lot work,2,-1
high area,2,-1
other places boston,2,-1
big seller me,2,-1
!definitely area,2,-1
relatively busy daytime,2,-1
short walk centre,2,-1
very entertaining,2,-1
it 's neighborhood so easy park,2,-1
most pleasant,2,-1
just far enough hustle feel quiet,2,-1
many good places distance,2,-1
convenient distance boston,2,-1
residential neighborhoods,2,-1
great- quiet street,2,-1
tidal waters,2,-1
really stellar,2,-1
very close universities,2,-1
wonderful rooftop,2,-1
quaint sceneries,2,-1
it kind of takes awhile get bay which were mainly,2,-1
!when we arrived we had sneak building door get apartment avoid doorman,2,-1
steps away beach,2,-1
great ideal cambridge,2,-1
proof,2,-1
very good transport,2,-1
couple blocks walking distance stop,2,-1
quaint bricks,2,-1
communicating,2,-1
gym building,2,-1
very convenient purpose,2,-1
slightly slanted,2,-1
awesome tons,2,-1
great meeting,2,-1
great district,2,-1
especially your activities focused area,2,-1
delightful mix walks,2,-1
lines cambridge,2,-1
easy get activities,2,-1
plenty beds everyone sleep comfortably,2,-1
store laundryomat,2,-1
very nice view,2,-1
!frills,2,-1
connections ends corner respectively,2,-1
very near areas,2,-1
quite as described,2,-1
chairs table,2,-1
very nice neighborhood ability,2,-1
1899,2,-1
individuals,2,-1
very central area town,2,-1
edge boston,2,-1
very quiet neighbors are friendly,2,-1
pretty easy get here,2,-1
safe great proximity city,2,-1
biscuits,2,-1
!big city,2,-1
you need be seaport,2,-1
my first experience,2,-1
so walking,2,-1
!huge fan,2,-1
great close bu,2,-1
quite noisy road,2,-1
carpet,2,-1
lots boston,2,-1
midway watertown,2,-1
set neighbourhood access,2,-1
offer again,2,-1
old woods,2,-1
as charming,2,-1
highways boston,2,-1
nice tv,2,-1
super walkable plenty,2,-1
so interesting,2,-1
convenient walkable places,2,-1
minutes kittery,2,-1
just described listing,2,-1
odd it 's very definitely neighborhood,2,-1
busy part area,2,-1
friends building,2,-1
top half you,2,-1
other fun areas boston,2,-1
good nice quiet street,2,-1
step chinatown,2,-1
mins walk common,2,-1
amazing really close lots,2,-1
very close common,2,-1
reasonable walk lines,2,-1
convenient 10ish minutes walk center,2,-1
friendly oriented neighborhood,2,-1
corner library,2,-1
plenty areas,2,-1
close kendall,2,-1
clop carriage,2,-1
really quick replies,2,-1
when we needed ask,2,-1
you looking be close bu,2,-1
great energy,2,-1
being just outside city,2,-1
very centralized short walk everything,2,-1
covered parking,2,-1
very nice close everything,2,-1
really superb,2,-1
!’re,2,-1
wonderful very quiet,2,-1
resident parking only zones,2,-1
just steps road,2,-1
better place,2,-1
quite walkable shop,2,-1
really great amenities,2,-1
us great place,2,-1
beautiful atmosphere,2,-1
absolute best boston,2,-1
yards lines,2,-1
excellent easily walkable many,2,-1
is normal neighborhood,2,-1
as nice reviews say it is,2,-1
!happy upstairs apt is,2,-1
proximity restaurants,2,-1
my stay there,2,-1
literally right outside,2,-1
great location distance,2,-1
all bay,2,-1
great independent cinema,2,-1
2a,2,-1
signs so be careful,2,-1
we spending,2,-1
perfect close shops,2,-1
very short walk all,2,-1
good deal noise,2,-1
much bigger person,2,-1
being street got,2,-1
lovely very close transportation,2,-1
also retaining,2,-1
convenient rockport,2,-1
short distance portsmouth,2,-1
perfect seeing i love,2,-1
easily accesible,2,-1
multiple delicious places,2,-1
parking be tricky,2,-1
convenient t.,2,-1
right in harvard,2,-1
yardwork partying,2,-1
unforgettable weekend,2,-1
amazing boston,2,-1
briefly,2,-1
famous sign sight window,2,-1
companies is very responsive,2,-1
too far boston,2,-1
our favorite spots,2,-1
get sites,2,-1
perfect hangout,2,-1
which helps your group going bed times,2,-1
delightful neighborhood close station,2,-1
several floors,2,-1
extremely good distance,2,-1
super cute quick walk beach,2,-1
good little joints area,2,-1
bought by near i tell,2,-1
close company,2,-1
many great amenities,2,-1
small boutiques,2,-1
park is,2,-1
graduation area,2,-1
scarce,2,-1
hustle life,2,-1
!close boston,2,-1
wheels,2,-1
car must area,2,-1
our needs visiting,2,-1
beautiful right marsh,2,-1
quiet suburban street park,2,-1
late check,2,-1
short walk+transit,2,-1
huge additional benefit,2,-1
very quite relaxing area,2,-1
construction street,2,-1
extremely close fenway,2,-1
so ideal us,2,-1
very old neighborhood,2,-1
gentrification new,2,-1
exactly posted,2,-1
boston sights,2,-1
pier,2,-1
!we really have drive see,2,-1
very messy,2,-1
!very small ideal hang people,2,-1
rented,2,-1
ideal really close everything neighborhood plenty,2,-1
be perfect group everyone party was comfortable,2,-1
exact same layout furnishings,2,-1
st very active scene,2,-1
4am,2,-1
secure small number residents,2,-1
it renovated,2,-1
questions clean apartment internet,2,-1
my luggage,2,-1
away station ride,2,-1
ken place,2,-1
options eat around,2,-1
quiet residential neighborhood lots,2,-1
boston great host,2,-1
doorway,2,-1
warm conversation,2,-1
distance some some,2,-1
it less comfortable,2,-1
excellent sightseeing,2,-1
just brief walk away line subway,2,-1
many good coffee restaurants area,2,-1
close mta,2,-1
century,2,-1
narrow spiral staircase,2,-1
it is close transport location,2,-1
good enough there are,2,-1
great it 's just road,2,-1
complain,2,-1
ruckus set,2,-1
generaly,2,-1
perfect nice peaceful neighborhood,2,-1
further away square,2,-1
local neighborhood jamaica,2,-1
kenia place great deal,2,-1
cod areas,2,-1
nestled back community,2,-1
central towns,2,-1
!slick,2,-1
model,2,-1
convenient there are,2,-1
access lots,2,-1
awful smell,2,-1
quite sketchy,2,-1
sweepers coming morning,2,-1
older example neighborhood,2,-1
all areas pond,2,-1
areas pond,2,-1
history bridge,2,-1
!red line,2,-1
!funky area,2,-1
easy commute heart,2,-1
activties,2,-1
updating hall,2,-1
far enough be away chaos,2,-1
deep green forest,2,-1
close shelter,2,-1
rougher area,2,-1
terrific area boston restaurants,2,-1
substantial premium service,2,-1
it easy access get city,2,-1
distance logan,2,-1
nice outdoor space perfect glass evening,2,-1
really safe walking neighborhood,2,-1
very convenient close t,2,-1
distance much,2,-1
decent good neighborhood,2,-1
quiet escape downtown neighbors,2,-1
walking couple,2,-1
!very accessible,2,-1
just outside city,2,-1
safety friends,2,-1
very peaceful lot,2,-1
newish,2,-1
quite place resturants,2,-1
!my favorite part,2,-1
!away station,2,-1
noisy construction,2,-1
major road plenty,2,-1
my next trip boston,2,-1
absolutely charming little community,2,-1
very quiet amenities,2,-1
pretty close other,2,-1
very close proximity line,2,-1
very busy main street,2,-1
great run,2,-1
friendly neighbourhood,2,-1
historic bay,2,-1
outdoor seating,2,-1
snack food,2,-1
i could,2,-1
public transportation area,2,-1
quiet perfect walks,2,-1
great easy access downtown places,2,-1
stomping around,2,-1
access redline,2,-1
my building,2,-1
relatively better,2,-1
me nervous,2,-1
pleasurable experience,2,-1
just steps areas,2,-1
it was walkable stops,2,-1
easy access harbor,2,-1
very nice cafes,2,-1
very peaceful time,2,-1
great hikes,2,-1
have however which was,2,-1
walk room,2,-1
open room away,2,-1
ideal anyone going school area also very close fenway,2,-1
historical homes,2,-1
good bit cafes,2,-1
so close beaches,2,-1
get work as well has,2,-1
$ uber,2,-1
very center boston,2,-1
very convenient bus,2,-1
quiet street avenue,2,-1
completely gross stench,2,-1
it easy access transit,2,-1
only minute walk locations,2,-1
we were trip,2,-1
restrooms,2,-1
anyone keen stay area,2,-1
great location companies,2,-1
was their apartment,2,-1
home awake,2,-1
one attributes,2,-1
!when we arrived,2,-1
fairly easy navigate,2,-1
super convenient store,2,-1
very central transportation,2,-1
very good food,2,-1
you going travel city,2,-1
short ride area,2,-1
it simple get area,2,-1
patriots play,2,-1
many historic sites area,2,-1
they spoken hosts grievances,2,-1
tranquil stay proximity downtown,2,-1
historic areas salem,2,-1
salem hands,2,-1
following,2,-1
prime places boston,2,-1
young students,2,-1
excellent host great communication,2,-1
away supermarket,2,-1
street sofra,2,-1
great equally great,2,-1
only couple stops,2,-1
!safest area boston,2,-1
just 15minute walk hs,2,-1
ideal commuters,2,-1
us easily travel area,2,-1
!decent neighborhood just ride cambridge,2,-1
somerville quiet residential area just north cambridge,2,-1
playground center,2,-1
walkable selection,2,-1
spare terms,2,-1
only short drive beaches,2,-1
quiet still short driving distance wimberley,2,-1
how walkable area was,2,-1
perfect easy access transportation,2,-1
so close transportation,2,-1
your vacation,2,-1
!as advertised,2,-1
be literally street,2,-1
lots work,2,-1
canals,2,-1
quiet safe street,2,-1
just there,2,-1
coach,2,-1
great distance transportation,2,-1
worth trying stay,2,-1
otherwise lots restaurants,2,-1
nice quiet stay,2,-1
really close hall,2,-1
cooking,2,-1
quiet area city,2,-1
it easy travel,2,-1
outstanding views water,2,-1
center allston,2,-1
perfect very close transit,2,-1
perfect very close street shops,2,-1
overall great value,2,-1
potential issues,2,-1
close logan,2,-1
it was very quiet night,2,-1
blocks garage,2,-1
few things,2,-1
local amenities,2,-1
only short ride everything,2,-1
extremely close airport,2,-1
safe neighborhood about walk bu,2,-1
gorgeous greenery,2,-1
big fan place,2,-1
you spending boston,2,-1
studies check area,2,-1
very little noise,2,-1
prospective students,2,-1
average hotel,2,-1
boston nice neighbourhood great access city,2,-1
front entrance,2,-1
fantastic place trip,2,-1
great location distance eateries block,2,-1
leftovers,2,-1
apartment itself,2,-1
down earth,2,-1
mins walk beach area,2,-1
nice space concept,2,-1
expected complex places,2,-1
perfect walk town,2,-1
amazing really close everything,2,-1
nice local restaurants,2,-1
noisier i expected,2,-1
so handy etc,2,-1
trendy bars,2,-1
lovely amenities,2,-1
end line,2,-1
right next ocean,2,-1
unit craned roof,2,-1
girls go walks,2,-1
just ideal zigzag ma,2,-1
old factory playground,2,-1
vibrant haitian neighborhood food,2,-1
where there were i sat relaxing weather,2,-1
perfect weather hammock,2,-1
so quieter expected,2,-1
bicycle,2,-1
fresh towels,2,-1
linen,2,-1
your bags,2,-1
very quiet part neighborhood,2,-1
very strange,2,-1
moderately busy night restaurants,2,-1
quiet office is street,2,-1
beginning trail,2,-1
easy ride spots,2,-1
!cable,2,-1
you walk area,2,-1
great bars restaurants,2,-1
easy access numerous areas,2,-1
quiet pedestrians,2,-1
perfect easy walk restaurants,2,-1
walking car morning,2,-1
full clutter,2,-1
bnbs,2,-1
boston beaches,2,-1
various sites area,2,-1
playing music,2,-1
cute outdoor shop,2,-1
lovely historic quiet neighborhood,2,-1
perfect quiet street lot,2,-1
mins walk away,2,-1
so convenient area,2,-1
very nice very quit,2,-1
very accommodating host,2,-1
super big,2,-1
well situated as far public transportation go,2,-1
be very safe neighbors,2,-1
quiet historic neighborhood,2,-1
so convenient newburyport,2,-1
far away city,2,-1
wonderful hangout trip,2,-1
which is street,2,-1
most permitting,2,-1
number areas,2,-1
midst somerville,2,-1
plus nice places,2,-1
awesome very close city,2,-1
conference harvard,2,-1
explore salem,2,-1
lot locations,2,-1
very doable,2,-1
historic street lined houses,2,-1
brattle,2,-1
colonial houses,2,-1
extremely attentive,2,-1
which be good,2,-1
walk right,2,-1
its proximity bmc,2,-1
lack transportation nearby,2,-1
neighboring towns gloucester,2,-1
close enough walk downtown,2,-1
italian feast long party,2,-1
food stands,2,-1
convenient--,2,-1
quick walk mit,2,-1
very short walking distance thoroughfare,2,-1
mix academia,2,-1
huge pluses me,2,-1
you walk everywhere,2,-1
close one,2,-1
convenient plymouth,2,-1
bordering park,2,-1
amenities street,2,-1
best reason,2,-1
aware their rules are strict,2,-1
it seems team be remote,2,-1
only steps,2,-1
gorgeous beach,2,-1
lot air,2,-1
vegetarian asian place street,2,-1
very clean great communication host,2,-1
even it is road,2,-1
building so,2,-1
great—-lots restaurants,2,-1
fantastic-- minutes walk away transit restaurants,2,-1
insecure,2,-1
ideal it location beat,2,-1
just perfect portmouth,2,-1
only walk beach,2,-1
was room,2,-1
regular bus end,2,-1
heap shopping,2,-1
many area,2,-1
it easily accessible destinations,2,-1
safe good centralized location cambridge access,2,-1
interesting conversion neighbourhood,2,-1
rural character,2,-1
very pleasant walks,2,-1
historic cemetery,2,-1
market deli street,2,-1
anyone connect all,2,-1
noisy party,2,-1
reasonable which only mins drive area,2,-1
fine stop,2,-1
department was right across street,2,-1
good shops nearby,2,-1
great min walk harvard,2,-1
morning departure,2,-1
only short drive center,2,-1
beautiful lake,2,-1
nice top room view,2,-1
!better easy access cambridge car,2,-1
noise comings,2,-1
when we went walks,2,-1
close enough everything driving needed,2,-1
lots shops street,2,-1
location very close beach,2,-1
removed town,2,-1
almost one serves pm,2,-1
daughter,2,-1
giving problems,2,-1
jason,2,-1
different attractions,2,-1
revere house,2,-1
enough neighborhood,2,-1
us go,2,-1
described nice area nearby many well known restaurants,2,-1
nearby many well known restaurants,2,-1
cherries dan,2,-1
you want visit hassle,2,-1
major parts boston,2,-1
our airbnb,2,-1
a.m. porch,2,-1
lots streets,2,-1
strange place,2,-1
very nice neighbourhood nonetheless,2,-1
be relatively safe,2,-1
short walk line trains boston,2,-1
quick drive college,2,-1
huge beautiful houses,2,-1
this ideal stay us,2,-1
min transportation,2,-1
quiet residential area access,2,-1
us easily get boston,2,-1
great too stores,2,-1
very nice people,2,-1
somewhat convenient,2,-1
minutes ride square,2,-1
even short walk square,2,-1
perfect just minutes walk street,2,-1
short drive portsmouth,2,-1
very close street restaurants,2,-1
wonderful area plain,2,-1
few minute walk street,2,-1
great quick walk t,2,-1
